ASN,Prefix
AS140091,103.148.104.0/24
AS140091,103.153.202.0/24
AS140091,103.5.120.0/23
AS140091,103.5.121.0/24
AS140552,103.150.78.0/23
AS140552,103.150.78.0/24
AS140552,103.150.79.0/24
AS140617,103.151.8.0/23
AS141015,103.154.240.0/24
AS141015,103.154.241.0/24
AS141199,103.160.146.0/24
AS141216,103.156.154.0/24
AS141216,103.156.155.0/24
AS141216,154.84.165.0/24
AS141216,203.31.93.0/24
AS141236,103.157.0.0/23
AS141704,103.162.83.0/24
AS142126,103.163.159.0/24
AS142644,103.171.212.0/24
AS142644,103.171.213.0/24
AS149487,103.181.26.0/23
AS149521,103.182.118.0/23
AS149660,103.185.222.0/23
AS149660,103.185.222.0/24
AS149810,103.112.61.0/24
AS149810,103.186.240.0/23
AS149810,103.186.240.0/24
AS149810,103.186.241.0/24
AS149855,103.138.252.0/24
AS150153,103.95.4.0/24
AS150153,103.95.5.0/24
AS150159,103.124.184.0/23
AS150285,103.250.76.0/24
AS150285,103.38.8.0/24
AS150297,123.253.20.0/23
AS150297,123.253.22.0/24
AS150309,103.244.188.0/24
AS150309,103.244.189.0/24
AS150310,103.250.220.0/23
AS150310,103.250.221.0/24
AS150310,38.83.19.0/24
AS150692,103.59.162.0/24
AS150692,103.59.163.0/24
AS150721,103.68.234.0/23
AS150797,103.109.8.0/24
AS150797,103.109.9.0/24
AS150812,103.65.242.0/23
AS151210,103.132.102.0/23
AS151341,103.204.178.0/24
AS151341,103.204.179.0/24
AS151482,103.230.130.0/24
AS151482,103.230.131.0/24
AS151491,103.239.105.0/24
AS151491,203.9.219.0/24
AS151606,103.238.66.0/23
AS151606,45.195.128.0/24
AS151783,103.26.30.0/23
AS151783,103.26.31.0/24
AS151802,103.226.26.0/23
AS151826,103.217.68.0/23
AS151965,103.67.50.0/24
AS151965,103.67.51.0/24
AS151965,151.158.136.0/23
AS152140,210.87.126.0/23
AS152140,210.87.127.0/24
AS152329,157.10.224.0/24
AS152447,157.15.52.0/23
AS152447,157.15.52.0/24
AS152466,157.15.190.0/24
AS152466,160.30.133.0/24
AS152634,202.36.117.0/24
AS153044,160.25.32.0/24
AS153549,161.248.234.0/24
AS153549,161.248.235.0/24
AS153777,163.227.61.0/24
AS153790,163.227.90.0/23
AS153998,165.101.68.0/23
AS153998,165.101.69.0/24
AS154020,165.101.128.0/24
AS154020,165.101.129.0/24
AS154481,151.158.146.0/24
AS154481,151.158.147.0/24
AS18399,122.248.100.0/23
AS18399,122.248.102.0/24
AS18399,122.248.103.0/24
AS18399,122.248.104.0/23
AS18399,122.248.106.0/24
AS18399,122.248.112.0/24
AS18399,122.248.113.0/24
AS18399,122.248.118.0/24
AS18399,122.248.119.0/24
AS18399,122.248.120.0/24
AS18399,122.248.121.0/24
AS18399,122.248.126.0/24
AS18399,203.81.160.0/23
AS18399,203.81.162.0/24
AS18399,203.81.163.0/24
AS18399,203.81.164.0/23
AS18399,203.81.168.0/24
AS18399,203.81.169.0/24
AS18399,61.4.65.0/24
AS18399,61.4.68.0/24
AS18399,61.4.69.0/24
AS18399,61.4.70.0/23
AS18399,61.4.72.0/24
AS18399,61.4.73.0/24
AS18399,61.4.74.0/23
AS18399,61.4.76.0/24
AS18399,61.4.77.0/24
AS18399,61.4.78.0/24
AS18399,61.4.79.0/24
AS45558,203.215.60.0/22
AS45558,43.224.43.0/24
AS45558,45.41.96.0/22
AS45558,45.41.96.0/24
AS45558,45.41.97.0/24
AS45558,45.41.99.0/24
AS58952,103.27.116.0/22
AS58952,116.206.136.0/22
AS58952,210.14.96.0/20
AS58952,38.51.128.0/22
AS58952,59.153.88.0/22
AS63852,103.42.216.0/22
AS63998,103.61.11.0/24
AS63998,103.61.8.0/22
AS9988,103.206.173.0/24
AS9988,103.25.12.0/22
AS9988,103.47.184.0/24
AS9988,103.52.12.0/22
AS9988,103.52.13.0/24
AS9988,136.228.160.0/20
AS9988,136.228.160.0/23
AS9988,136.228.162.0/24
AS9988,136.228.164.0/22
AS9988,136.228.168.0/22
AS9988,136.228.172.0/23
AS9988,136.228.174.0/23
AS9988,203.81.64.0/19
AS9988,203.81.64.0/21
AS9988,203.81.71.0/24
AS9988,203.81.80.0/22
AS9988,203.81.84.0/23
AS9988,203.81.92.0/22
AS9988,43.224.40.0/22
AS9988,45.112.176.0/22
AS9988,45.41.100.0/22
AS9988,45.41.104.0/21
AS9988,45.41.104.0/24
AS9988,45.41.105.0/24
AS9988,45.41.106.0/24
AS9988,45.41.108.0/22
AS9988,45.41.112.0/20
